"feature","class","totallength","totaldb","totaloh","FA1kind","FA1length","FA1db","FA1oh","FA2kind","FA2length","FA2db","FA2oh","shorthand_notation","swisslipids_name","swisslipids_id","swisslipids_rank"
"Cer 32:1;2","Cer",32,1,2,NA,NA,NA,NA,NA,NA,NA,NA,"Cer 32:1;O2","Ceramide (d32:1)","SLM:000391217","SLM:Species"
"Cer 32:1;3","Cer",32,1,3,NA,NA,NA,NA,NA,NA,NA,NA,"Cer 32:1;O3","Ceramide (t32:1)","SLM:000391227","SLM:Species"
"Cer 32:1;4","Cer",32,1,4,NA,NA,NA,NA,NA,NA,NA,NA,"Cer 32:1;O4","Ceramide (q32:1)",NA,NA
"Cer 32:2;1","Cer",32,2,1,NA,NA,NA,NA,NA,NA,NA,NA,"Cer 32:2;O","Ceramide (m32:2)",NA,NA
"Cer 32:2;2","Cer",32,2,2,NA,NA,NA,NA,NA,NA,NA,NA,"Cer 32:2;O2","Ceramide (d32:2)","SLM:000391216","SLM:Species"
"Cer 32:2;3","Cer",32,2,3,NA,NA,NA,NA,NA,NA,NA,NA,"Cer 32:2;O3","Ceramide (t32:2)","SLM:000391225","SLM:Species"
"Cer 32:2;4","Cer",32,2,4,NA,NA,NA,NA,NA,NA,NA,NA,"Cer 32:2;O4","Ceramide (q32:2)",NA,NA
"Cer 34:0;1","Cer",34,0,1,NA,NA,NA,NA,NA,NA,NA,NA,"Cer 34:0;O","Ceramide (m34:0)",NA,NA
"Cer 34:0;2","Cer",34,0,2,NA,NA,NA,NA,NA,NA,NA,NA,"Cer 34:0;O2","Ceramide (d34:0)","SLM:000391238","SLM:Species"
"Cer 34:0;3","Cer",34,0,3,NA,NA,NA,NA,NA,NA,NA,NA,"Cer 34:0;O3","Ceramide (t34:0)","SLM:000391253","SLM:Species"
"Cer 34:0;4","Cer",34,0,4,NA,NA,NA,NA,NA,NA,NA,NA,"Cer 34:0;O4","Ceramide (q34:0)",NA,NA
"Cer 34:1;1","Cer",34,1,1,NA,NA,NA,NA,NA,NA,NA,NA,"Cer 34:1;O","Ceramide (m34:1)",NA,NA
"Cer 34:1;3","Cer",34,1,3,NA,NA,NA,NA,NA,NA,NA,NA,"Cer 34:1;O3","Ceramide (t34:1)","SLM:000391250","SLM:Species"
"Cer 34:1;4","Cer",34,1,4,NA,NA,NA,NA,NA,NA,NA,NA,"Cer 34:1;O4","Ceramide (q34:1)",NA,NA
"Cer 34:2;1","Cer",34,2,1,NA,NA,NA,NA,NA,NA,NA,NA,"Cer 34:2;O","Ceramide (m34:2)",NA,NA
"Cer 34:2;2","Cer",34,2,2,NA,NA,NA,NA,NA,NA,NA,NA,"Cer 34:2;O2","Ceramide (d34:2)","SLM:000391234","SLM:Species"
"Cer 34:2;3","Cer",34,2,3,NA,NA,NA,NA,NA,NA,NA,NA,"Cer 34:2;O3","Ceramide (t34:2)","SLM:000391247","SLM:Species"
"Cer 34:2;4","Cer",34,2,4,NA,NA,NA,NA,NA,NA,NA,NA,"Cer 34:2;O4","Ceramide (q34:2)",NA,NA
"Cer 36:0;1","Cer",36,0,1,NA,NA,NA,NA,NA,NA,NA,NA,"Cer 36:0;O","Ceramide (m36:0)",NA,NA
"Cer 36:0;2","Cer",36,0,2,NA,NA,NA,NA,NA,NA,NA,NA,"Cer 36:0;O2","Ceramide (d36:0)","SLM:000391263","SLM:Species"
"Cer 36:1;1","Cer",36,1,1,NA,NA,NA,NA,NA,NA,NA,NA,"Cer 36:1;O","Ceramide (m36:1)",NA,NA
"Cer 36:1;2","Cer",36,1,2,NA,NA,NA,NA,NA,NA,NA,NA,"Cer 36:1;O2","Ceramide (d36:1)","SLM:000391261","SLM:Species"
"Cer 36:1;3","Cer",36,1,3,NA,NA,NA,NA,NA,NA,NA,NA,"Cer 36:1;O3","Ceramide (t36:1)","SLM:000391277","SLM:Species"
"Cer 36:1;4","Cer",36,1,4,NA,NA,NA,NA,NA,NA,NA,NA,"Cer 36:1;O4","Ceramide (q36:1)",NA,NA
"Cer 36:2;1","Cer",36,2,1,NA,NA,NA,NA,NA,NA,NA,NA,"Cer 36:2;O","Ceramide (m36:2)",NA,NA
"Cer 36:2;3","Cer",36,2,3,NA,NA,NA,NA,NA,NA,NA,NA,"Cer 36:2;O3","Ceramide (t36:2)","SLM:000391274","SLM:Species"
"Cer 36:2;4","Cer",36,2,4,NA,NA,NA,NA,NA,NA,NA,NA,"Cer 36:2;O4","Ceramide (q36:2)",NA,NA
"Cer 38:0;1","Cer",38,0,1,NA,NA,NA,NA,NA,NA,NA,NA,"Cer 38:0;O","Ceramide (m38:0)",NA,NA
"Cer 38:0;2","Cer",38,0,2,NA,NA,NA,NA,NA,NA,NA,NA,"Cer 38:0;O2","Ceramide (d38:0)","SLM:000391292","SLM:Species"
"Cer 38:0;3","Cer",38,0,3,NA,NA,NA,NA,NA,NA,NA,NA,"Cer 38:0;O3","Ceramide (t38:0)","SLM:000391309","SLM:Species"
"Cer 38:0;4","Cer",38,0,4,NA,NA,NA,NA,NA,NA,NA,NA,"Cer 38:0;O4","Ceramide (q38:0)",NA,NA
"Cer 38:1;1","Cer",38,1,1,NA,NA,NA,NA,NA,NA,NA,NA,"Cer 38:1;O","Ceramide (m38:1)",NA,NA
"Cer 38:1;2","Cer",38,1,2,NA,NA,NA,NA,NA,NA,NA,NA,"Cer 38:1;O2","Ceramide (d38:1)","SLM:000391289","SLM:Species"
"Cer 38:1;3","Cer",38,1,3,NA,NA,NA,NA,NA,NA,NA,NA,"Cer 38:1;O3","Ceramide (t38:1)","SLM:000391306","SLM:Species"
"Cer 38:1;4","Cer",38,1,4,NA,NA,NA,NA,NA,NA,NA,NA,"Cer 38:1;O4","Ceramide (q38:1)",NA,NA
"Cer 38:2;2","Cer",38,2,2,NA,NA,NA,NA,NA,NA,NA,NA,"Cer 38:2;O2","Ceramide (d38:2)","SLM:000391287","SLM:Species"
"Cer 38:2;3","Cer",38,2,3,NA,NA,NA,NA,NA,NA,NA,NA,"Cer 38:2;O3","Ceramide (t38:2)","SLM:000391303","SLM:Species"
"Cer 38:2;4","Cer",38,2,4,NA,NA,NA,NA,NA,NA,NA,NA,"Cer 38:2;O4","Ceramide (q38:2)",NA,NA
"Cer 40:0;1","Cer",40,0,1,NA,NA,NA,NA,NA,NA,NA,NA,"Cer 40:0;O","Ceramide (m40:0)",NA,NA
"Cer 40:0;2","Cer",40,0,2,NA,NA,NA,NA,NA,NA,NA,NA,"Cer 40:0;O2","Ceramide (d40:0)","SLM:000391322","SLM:Species"
"Cer 40:0;3","Cer",40,0,3,NA,NA,NA,NA,NA,NA,NA,NA,"Cer 40:0;O3","Ceramide (t40:0)","SLM:000391338","SLM:Species"
"Cer 40:0;4","Cer",40,0,4,NA,NA,NA,NA,NA,NA,NA,NA,"Cer 40:0;O4","Ceramide (q40:0)",NA,NA
"Cer 40:1;1","Cer",40,1,1,NA,NA,NA,NA,NA,NA,NA,NA,"Cer 40:1;O","Ceramide (m40:1)",NA,NA
"Cer 40:1;2","Cer",40,1,2,NA,NA,NA,NA,NA,NA,NA,NA,"Cer 40:1;O2","Ceramide (d40:1)","SLM:000391319","SLM:Species"
"Cer 40:1;3","Cer",40,1,3,NA,NA,NA,NA,NA,NA,NA,NA,"Cer 40:1;O3","Ceramide (t40:1)","SLM:000391335","SLM:Species"
"Cer 40:1;4","Cer",40,1,4,NA,NA,NA,NA,NA,NA,NA,NA,"Cer 40:1;O4","Ceramide (q40:1)",NA,NA
"Cer 40:2;2","Cer",40,2,2,NA,NA,NA,NA,NA,NA,NA,NA,"Cer 40:2;O2","Ceramide (d40:2)","SLM:000391317","SLM:Species"
"Cer 40:2;4","Cer",40,2,4,NA,NA,NA,NA,NA,NA,NA,NA,"Cer 40:2;O4","Ceramide (q40:2)",NA,NA
"Cer 42:0;1","Cer",42,0,1,NA,NA,NA,NA,NA,NA,NA,NA,"Cer 42:0;O","Ceramide (m42:0)",NA,NA
"Cer 42:0;2","Cer",42,0,2,NA,NA,NA,NA,NA,NA,NA,NA,"Cer 42:0;O2","Ceramide (d42:0)","SLM:000391349","SLM:Species"
"Cer 42:0;3","Cer",42,0,3,NA,NA,NA,NA,NA,NA,NA,NA,"Cer 42:0;O3","Ceramide (t42:0)","SLM:000391365","SLM:Species"
"Cer 42:0;4","Cer",42,0,4,NA,NA,NA,NA,NA,NA,NA,NA,"Cer 42:0;O4","Ceramide (q42:0)",NA,NA
"Cer 42:1;1","Cer",42,1,1,NA,NA,NA,NA,NA,NA,NA,NA,"Cer 42:1;O","Ceramide (m42:1)",NA,NA
"Cer 42:1;2","Cer",42,1,2,NA,NA,NA,NA,NA,NA,NA,NA,"Cer 42:1;O2","Ceramide (d42:1)","SLM:000391346","SLM:Species"
"Cer 42:1;3","Cer",42,1,3,NA,NA,NA,NA,NA,NA,NA,NA,"Cer 42:1;O3","Ceramide (t42:1)","SLM:000391362","SLM:Species"
"Cer 42:1;4","Cer",42,1,4,NA,NA,NA,NA,NA,NA,NA,NA,"Cer 42:1;O4","Ceramide (q42:1)",NA,NA
"Cer 42:2;1","Cer",42,2,1,NA,NA,NA,NA,NA,NA,NA,NA,"Cer 42:2;O","Ceramide (m42:2)",NA,NA
"Cer 42:2;2","Cer",42,2,2,NA,NA,NA,NA,NA,NA,NA,NA,"Cer 42:2;O2","Ceramide (d42:2)","SLM:000391345","SLM:Species"
"Cer 42:2;3","Cer",42,2,3,NA,NA,NA,NA,NA,NA,NA,NA,"Cer 42:2;O3","Ceramide (t42:2)","SLM:000391359","SLM:Species"
"Cer 44:0;1","Cer",44,0,1,NA,NA,NA,NA,NA,NA,NA,NA,"Cer 44:0;O","Ceramide (m44:0)",NA,NA
"Cer 44:0;2","Cer",44,0,2,NA,NA,NA,NA,NA,NA,NA,NA,"Cer 44:0;O2","Ceramide (d44:0)","SLM:000391375","SLM:Species"
"Cer 44:0;3","Cer",44,0,3,NA,NA,NA,NA,NA,NA,NA,NA,"Cer 44:0;O3","Ceramide (t44:0)","SLM:000391388","SLM:Species"
"Cer 44:0;4","Cer",44,0,4,NA,NA,NA,NA,NA,NA,NA,NA,"Cer 44:0;O4","Ceramide (q44:0)",NA,NA
"Cer 44:1;1","Cer",44,1,1,NA,NA,NA,NA,NA,NA,NA,NA,"Cer 44:1;O","Ceramide (m44:1)",NA,NA
"Cer 44:1;2","Cer",44,1,2,NA,NA,NA,NA,NA,NA,NA,NA,"Cer 44:1;O2","Ceramide (d44:1)","SLM:000391372","SLM:Species"
"Cer 44:1;3","Cer",44,1,3,NA,NA,NA,NA,NA,NA,NA,NA,"Cer 44:1;O3","Ceramide (t44:1)","SLM:000391385","SLM:Species"
"Cer 44:1;4","Cer",44,1,4,NA,NA,NA,NA,NA,NA,NA,NA,"Cer 44:1;O4","Ceramide (q44:1)",NA,NA
"Cer 44:2;2","Cer",44,2,2,NA,NA,NA,NA,NA,NA,NA,NA,"Cer 44:2;O2","Ceramide (d44:2)","SLM:000391371","SLM:Species"
"Cer 44:2;3","Cer",44,2,3,NA,NA,NA,NA,NA,NA,NA,NA,"Cer 44:2;O3","Ceramide (t44:2)",NA,NA
"Cer 44:2;4","Cer",44,2,4,NA,NA,NA,NA,NA,NA,NA,NA,"Cer 44:2;O4","Ceramide (q44:2)",NA,NA
"Chol","Chol",27,1,0,NA,NA,NA,NA,NA,NA,NA,NA,"ST 27:1;O","cholesterol","SLM:000000287","SLM:Isomeric_Subspecies"
"DAG 12:0;0_18:1;0","DAG",30,1,0,"FA",12,0,0,"FA",18,1,0,"DG 12:0_18:1","Diacylglycerol (12:0_18:1)","SLM:000308687","SLM:Molecular_Subspecies"
"DAG 13:0;0_17:0;0","DAG",30,0,0,"FA",13,0,0,"FA",17,0,0,"DG 13:0_17:0","Diacylglycerol (13:0_17:0)","SLM:000308722","SLM:Molecular_Subspecies"
"DAG 13:0;0_17:1;0","DAG",30,1,0,"FA",13,0,0,"FA",17,1,0,"DG 13:0_17:1","Diacylglycerol (13:0_17:1)",NA,NA
"DAG 13:0;0_18:1;0","DAG",31,1,0,"FA",13,0,0,"FA",18,1,0,"DG 13:0_18:1","Diacylglycerol (13:0_18:1)","SLM:000308724","SLM:Molecular_Subspecies"
"DAG 13:0;0_18:2;0","DAG",31,2,0,"FA",13,0,0,"FA",18,2,0,"DG 13:0_18:2","Diacylglycerol (13:0_18:2)","SLM:000308725","SLM:Molecular_Subspecies"
"DAG 14:0;0_16:0;0","DAG",30,0,0,"FA",14,0,0,"FA",16,0,0,"DG 14:0_16:0","Diacylglycerol (14:0_16:0)","SLM:000308755","SLM:Molecular_Subspecies"
"DAG 14:0;0_16:1;0","DAG",30,1,0,"FA",14,0,0,"FA",16,1,0,"DG 14:0_16:1","Diacylglycerol (14:0_16:1)","SLM:000308756","SLM:Molecular_Subspecies"
"DAG 14:0;0_17:0;0","DAG",31,0,0,"FA",14,0,0,"FA",17,0,0,"DG 14:0_17:0","Diacylglycerol (14:0_17:0)","SLM:000308758","SLM:Molecular_Subspecies"
"DAG 14:0;0_17:1;0","DAG",31,1,0,"FA",14,0,0,"FA",17,1,0,"DG 14:0_17:1","Diacylglycerol (14:0_17:1)",NA,NA
"DAG 14:0;0_18:0;0","DAG",32,0,0,"FA",14,0,0,"FA",18,0,0,"DG 14:0_18:0","Diacylglycerol (14:0_18:0)","SLM:000308759","SLM:Molecular_Subspecies"
"DAG 14:0;0_18:1;0","DAG",32,1,0,"FA",14,0,0,"FA",18,1,0,"DG 14:0_18:1","Diacylglycerol (14:0_18:1)","SLM:000308760","SLM:Molecular_Subspecies"
"DAG 14:0;0_18:2;0","DAG",32,2,0,"FA",14,0,0,"FA",18,2,0,"DG 14:0_18:2","Diacylglycerol (14:0_18:2)","SLM:000308761","SLM:Molecular_Subspecies"
"DAG 14:0;0_24:0;0","DAG",38,0,0,"FA",14,0,0,"FA",24,0,0,"DG 14:0_24:0","Diacylglycerol (14:0_24:0)","SLM:000308779","SLM:Molecular_Subspecies"
"DAG 14:1;0_16:0;0","DAG",30,1,0,"FA",14,1,0,"FA",16,0,0,"DG 14:1_16:0","Diacylglycerol (14:1_16:0)","SLM:000308790","SLM:Molecular_Subspecies"
"DAG 14:1;0_16:1;0","DAG",30,2,0,"FA",14,1,0,"FA",16,1,0,"DG 14:1_16:1","Diacylglycerol (14:1_16:1)","SLM:000308791","SLM:Molecular_Subspecies"
"DAG 14:1;0_17:1;0","DAG",31,2,0,"FA",14,1,0,"FA",17,1,0,"DG 14:1_17:1","Diacylglycerol (14:1_17:1)",NA,NA
"DAG 14:1;0_18:1;0","DAG",32,2,0,"FA",14,1,0,"FA",18,1,0,"DG 14:1_18:1","Diacylglycerol (14:1_18:1)","SLM:000308795","SLM:Molecular_Subspecies"
"DAG 14:1;0_18:2;0","DAG",32,3,0,"FA",14,1,0,"FA",18,2,0,"DG 14:1_18:2","Diacylglycerol (14:1_18:2)","SLM:000308796","SLM:Molecular_Subspecies"
"DAG 15:0;0_15:0;0","DAG",30,0,0,"FA",15,0,0,"FA",15,0,0,"DG 15:0_15:0","Diacylglycerol (15:0_15:0)","SLM:000308823","SLM:Molecular_Subspecies"
"DAG 15:0;0_15:1;0","DAG",30,1,0,"FA",15,0,0,"FA",15,1,0,"DG 15:0_15:1","Diacylglycerol (15:0_15:1)",NA,NA
"DAG 15:0;0_16:0;0","DAG",31,0,0,"FA",15,0,0,"FA",16,0,0,"DG 15:0_16:0","Diacylglycerol (15:0_16:0)","SLM:000308824","SLM:Molecular_Subspecies"
"DAG 15:0;0_16:1;0","DAG",31,1,0,"FA",15,0,0,"FA",16,1,0,"DG 15:0_16:1","Diacylglycerol (15:0_16:1)","SLM:000308825","SLM:Molecular_Subspecies"
"DAG 15:0;0_17:0;0","DAG",32,0,0,"FA",15,0,0,"FA",17,0,0,"DG 15:0_17:0","Diacylglycerol (15:0_17:0)","SLM:000308827","SLM:Molecular_Subspecies"
"DAG 15:0;0_17:1;0","DAG",32,1,0,"FA",15,0,0,"FA",17,1,0,"DG 15:0_17:1","Diacylglycerol (15:0_17:1)",NA,NA
"DAG 15:0;0_18:0;0","DAG",33,0,0,"FA",15,0,0,"FA",18,0,0,"DG 15:0_18:0","Diacylglycerol (15:0_18:0)","SLM:000308828","SLM:Molecular_Subspecies"
"DAG 15:0;0_18:1;0","DAG",33,1,0,"FA",15,0,0,"FA",18,1,0,"DG 15:0_18:1","Diacylglycerol (15:0_18:1)","SLM:000308829","SLM:Molecular_Subspecies"
"DAG 15:0;0_18:2;0","DAG",33,2,0,"FA",15,0,0,"FA",18,2,0,"DG 15:0_18:2","Diacylglycerol (15:0_18:2)","SLM:000308830","SLM:Molecular_Subspecies"
"DAG 15:0;0_24:0;0","DAG",39,0,0,"FA",15,0,0,"FA",24,0,0,"DG 15:0_24:0","Diacylglycerol (15:0_24:0)","SLM:000308848","SLM:Molecular_Subspecies"
"DAG 15:1;0_15:1;0","DAG",30,2,0,"FA",15,1,0,"FA",15,1,0,"DG 15:1_15:1","Diacylglycerol (15:1_15:1)",NA,NA
"DAG 15:1;0_16:0;0","DAG",31,1,0,"FA",15,1,0,"FA",16,0,0,"DG 15:1_16:0","Diacylglycerol (15:1_16:0)",NA,NA
"DAG 15:1;0_16:1;0","DAG",31,2,0,"FA",15,1,0,"FA",16,1,0,"DG 15:1_16:1","Diacylglycerol (15:1_16:1)",NA,NA
"DAG 15:1;0_17:0;0","DAG",32,1,0,"FA",15,1,0,"FA",17,0,0,"DG 15:1_17:0","Diacylglycerol (15:1_17:0)",NA,NA
"DAG 15:1;0_17:1;0","DAG",32,2,0,"FA",15,1,0,"FA",17,1,0,"DG 15:1_17:1","Diacylglycerol (15:1_17:1)",NA,NA
"DAG 15:1;0_18:1;0","DAG",33,2,0,"FA",15,1,0,"FA",18,1,0,"DG 15:1_18:1","Diacylglycerol (15:1_18:1)",NA,NA
"DAG 15:1;0_18:2;0","DAG",33,3,0,"FA",15,1,0,"FA",18,2,0,"DG 15:1_18:2","Diacylglycerol (15:1_18:2)",NA,NA
"DAG 15:1;0_19:0;0","DAG",34,1,0,"FA",15,1,0,"FA",19,0,0,"DG 15:1_19:0","Diacylglycerol (15:1_19:0)",NA,NA
"DAG 16:0;0_16:0;0","DAG",32,0,0,"FA",16,0,0,"FA",16,0,0,"DG 16:0_16:0","Diacylglycerol (16:0_16:0)","SLM:000308857","SLM:Molecular_Subspecies"
"DAG 16:0;0_16:1;0","DAG",32,1,0,"FA",16,0,0,"FA",16,1,0,"DG 16:0_16:1","Diacylglycerol (16:0_16:1)","SLM:000308858","SLM:Molecular_Subspecies"
"DAG 16:0;0_16:2;0","DAG",32,2,0,"FA",16,0,0,"FA",16,2,0,"DG 16:0_16:2","Diacylglycerol (16:0_16:2)","SLM:000308859","SLM:Molecular_Subspecies"
"DAG 16:0;0_17:0;0","DAG",33,0,0,"FA",16,0,0,"FA",17,0,0,"DG 16:0_17:0","Diacylglycerol (16:0_17:0)","SLM:000308860","SLM:Molecular_Subspecies"
"DAG 16:0;0_17:1;0","DAG",33,1,0,"FA",16,0,0,"FA",17,1,0,"DG 16:0_17:1","Diacylglycerol (16:0_17:1)",NA,NA
"DAG 16:0;0_18:0;0","DAG",34,0,0,"FA",16,0,0,"FA",18,0,0,"DG 16:0_18:0","Diacylglycerol (16:0_18:0)","SLM:000308861","SLM:Molecular_Subspecies"
"DAG 16:0;0_18:1;0","DAG",34,1,0,"FA",16,0,0,"FA",18,1,0,"DG 16:0_18:1","Diacylglycerol (16:0_18:1)","SLM:000308862","SLM:Molecular_Subspecies"
"DAG 16:0;0_18:2;0","DAG",34,2,0,"FA",16,0,0,"FA",18,2,0,"DG 16:0_18:2","Diacylglycerol (16:0_18:2)","SLM:000308863","SLM:Molecular_Subspecies"
"DAG 16:0;0_18:3;0","DAG",34,3,0,"FA",16,0,0,"FA",18,3,0,"DG 16:0_18:3","Diacylglycerol (16:0_18:3)","SLM:000308864","SLM:Molecular_Subspecies"
